Meta (for aggregations and piechart),PRIME (known as OYE in previous projects),Query Count,Percentage of Total
Navigational,Navigational,150,30.0%
Other: Adult and Web results,OTHER_Adult,107,21.4%
News (undercounted),News,49,9.8%
"Entertainment: Celebrities,",Notable_Person_Other,28,5.6%
Other categories,OTHER_None_of_These,22,4.4%
Cannot judge,Cannot_judge,20,4.0%
"Reference: Health, Lottery,",Reference_Health_Lottery,13,2.6%
Other categories,OTHER_Events,12,2.4%
"Sports teams, leagues, athletes",Sports_Team,11,2.2%
Weather,Weather,10,2.0%
"Sports teams, leagues, athletes",Notable_Person_Athlete,9,1.8%
Answers,ANSWERS_Games,9,1.8%
"Entertainment: Celebrities,",Notable_Person_Musician,8,1.6%
"Entertainment: Celebrities,",Notable_Person_Actor,7,1.4%
Answers,ANSWERS_General,6,1.2%
Answers,ANSWERS_Finance,6,1.2%
"Sports teams, leagues, athletes",Sports_teams_leagues_athletes,4,0.8%
Other: Adult and Web results,OTHER_Web,4,0.8%
Answers,ANSWERS_Health,3,0.6%
Local,Local_Chain,3,0.6%
"Quickfacts: Define, Crossword,",QUICKFACT_Crossword,3,0.6%
Answers,ANSWERS_Sports,3,0.6%
Other categories,OTHER_Person_Search,2,0.4%
Entertainment: TV,TV_Show,2,0.4%
Local,Local_Category,2,0.4%
"Quickfacts: Define, Crossword,",QUICKFACT_Table,2,0.4%
Local,Local_Single,1,0.2%
Image only,Image_only,1,0.2%
Entertainment: Movies,Movie_Non_current,1,0.2%
Answers,ANSWERS_Music,1,0.2%
Entertainment: Music,OTHER_Music,1,0.2%
